title,salary,company,description,location,city,state
data analyst – commercial agronomy,115871.09296740998,pivot bio,"pivot bio is looking for a data analyst who will work with agronomists, scientists, and analysts to extract meaningful insights from agronomic data.","['ames', ' ia']",ames, ia
"data analyst, education & services",115871.09296740998,the leukemia & lymphoma society,"act upon data, while building the data teams’ working knowledge of analytics tools. respond to internal data requests. at least 3 years of relevant experience.",['remote'],remote,
data analyst,115871.09296740998,cloudmed solutions llc,monitor data quality and remove corrupt data. background in data warehouse design and data mining. use data mining to extract information from data sets and…,['remote'],remote,
business analyst,115871.09296740998,sevenhills it solution,experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools. define reporting and alerting requirements.,['remote'],remote,
data analyst - mid level,115871.09296740998,apogee integration llc,no-sql and big data systems. relational database and data warehouse modeling and schema design. requires 1 to 5 years work experience in data science/data…,"['reston', ' va']",reston, va
data and visualization expert (data analyst),115871.09296740998,tellus solutions inc,"sql, data modeling, data visualization (tableau). filter and ""clean data and correct data quality and computation problems. salary: up to $54.84 per hour.","['palo alto', ' ca']",palo alto, ca
data analyst,115871.09296740998,niche,"be a part of a cross-functional product team, taking on small, data-related tasks to understand the back end in more detail. 1-3 years of relevant experience.","['pittsburgh', ' pa']",pittsburgh, pa
administrator i (c22071) (junior policy and data analyst - ssbci),55338.4,state of maryland,the main purpose of this position is to update county profiles for all 24 jurisdictions with recently released decennial census for 2020; the upcoming 5-year…,"['lanham', ' md']",lanham, md
sr. data analyst,115871.09296740998,platform science,"5+ years of experience as a data analyst. apply your expertise in quantitative analysis, data visualization and data-mining to create data alerts and derive…","['san diego', ' ca']",san diego, ca
"data analyst - traffic matrix, tiktok user growth",115871.09296740998,tiktok,build out reporting to track product performance using data visualization tools. bonus given to proficiency in data mining skills e.g. modern machine…,"['san francisco', ' ca']",san francisco, ca
junior business analyst,59280.0,tresume,"must be willing to relocate.*. creating a detailed business analysis, outlining problems, opportunities and solutions for a business.","['ohio city', ' oh']",ohio city, oh
data warehouse analyst,119600.0,snappyhires,"creates business objects reports and assists clients with data warehouse. studies and understands the company’s business processes and applications, including…",['remote'],remote,
data analyst,115871.09296740998,state farm,a business data analyst combines in-depth business knowledge with a high capacity for analyzing data. p&c analytics in financial operations is looking to hire a…,"['tempe', ' az']",tempe, az
data analyst 2,115871.09296740998,humana,"1-3 years of data analysis experience or relevant coursework. experience with statistical methodologies, exploratory data analysis, and using data to drive…",['remote'],remote,
data analyst,115871.09296740998,logikcull,you are a data detective and enjoy exploring data using sql in our data lake. you should have at least 1-3 years of experience with data analytics.,['remote'],remote,
child support business analyst,115871.09296740998,"mindboard, inc.",child welfare: 5 years (preferred). position: remote business analyst (child support sme) *. the child support management system (csms) is a statewide system…,['remote'],remote,
